Order;Symbol;Name;OxydeName_Part01_Classic;OxydeName_Part02_Classic;OxydeName_Part03_Classic;Name_Classic_Oxyde;AtomicNumber;Group;Period;Type;Subtype;State;Valence;AmountOfValences;OrderGeneralValences;OrderValenceOnElement;SelectedValence;RomanValence;OxydeName_Part01_IUPAC;Name_IUPAC_Oxyde
1;H;Hidrógeno;Óxido ;;de Hidrógeno;Óxido de Hidrógeno;1;1;1;No Metal;Otros no metales;Gas;1;1;1;1;1;I;Óxido de ;Óxido de Hidrógeno (I)
2;He;Helio;----;----;----;----;2;18;1;Gas Noble;-;Gas;0;1;2;1;0;----;----;----
3;Li;Litio;Óxido ;;de Litio;Óxido de Litio;3;1;2;Metal;Alcalino;Sólido;1;1;3;1;1;I;Óxido de ;Óxido de Litio (I)
4;Be;Berilio;Óxido ;;de Berilio;Óxido de Berilio;4;2;2;Metal;Tierras alcalinas;Sólido;2;1;4;1;2;II;Óxido de ;Óxido de Berilio (II)
5;B;Boro;Óxido ;;de Boro;Óxido de Boro;5;13;2;Metaloide;-;Sólido;3;1;5;1;3;III;Óxido de ;Óxido de Boro (III)
6;C;Carbón;Óxido ;;Carbonoso;Óxido Carbonoso;6;14;2;No Metal;Otros no metales;Sólido;2,4;2;6;1;2;II;Óxido de ;Óxido de Carbón (II)
7;C;Carbón;Óxido ;;Carbónico;Óxido Carbónico;6;14;2;No Metal;Otros no metales;Sólido;2,4;2;7;2;4;IV;Óxido de ;Óxido de Carbón (IV)
8;N;Nitrógeno;Óxido ;Hipo;Nitrogenoso;Óxido HipoNitrogenoso;7;15;2;No Metal;Otros no metales;Gas;2,3,4,5;4;8;1;2;II;Óxido de ;Óxido de Nitrógeno (II)
9;N;Nitrógeno;Óxido ;;Nitrogenoso;Óxido Nitrogenoso;7;15;2;No Metal;Otros no metales;Gas;2,3,4,5;4;9;2;3;III;Óxido de ;Óxido de Nitrógeno (III)
10;N;Nitrógeno;Óxido ;;Nítrico;Óxido Nítrico;7;15;2;No Metal;Otros no metales;Gas;2,3,4,5;4;10;3;4;IV;Óxido de ;Óxido de Nitrógeno (IV)
11;N;Nitrógeno;Óxido ;Per;Nítrico;Óxido PerNítrico;7;15;2;No Metal;Otros no metales;Gas;2,3,4,5;4;11;4;5;V;Óxido de ;Óxido de Nitrógeno (V)
12;O;Oxígeno;----;----;----;----;8;16;2;No Metal;Otros no metales;Gas;2;1;12;1;2;II;Óxido de ;Óxido de Oxígeno (II)
13;F;Flúor;Óxido ;;de Flúor;Óxido de Flúor;9;17;2;No Metal;Halógenos;Gas;1;1;13;1;1;I;Óxido de ;Óxido de Flúor (I)
14;Ne;Neón;----;----;----;----;10;18;2;Gas Noble;-;Gas;0;1;14;1;0;----;----;----
15;Na;Sodio;Óxido ;;de Sodio;Óxido de Sodio;11;1;3;Metal;Alcalino;Sólido;1;1;15;1;1;I;Óxido de ;Óxido de Sodio (I)
16;Mg;Magnesio;Óxido ;;de Magnesio;Óxido de Magnesio;12;2;3;Metal;Tierras alcalinas;Sólido;2;1;16;1;2;II;Óxido de ;Óxido de Magnesio (II)
17;Al;Aluminio;Óxido ;;de Aluminio;Óxido de Aluminio;13;13;3;Metal;Metales del Bloque p;Sólido;3;1;17;1;3;III;Óxido de ;Óxido de Aluminio (III)
18;Si;Silicio;Óxido ;;de Silicio;Óxido de Silicio;14;14;3;Metaloide;-;Sólido;4;1;18;1;4;IV;Óxido de ;Óxido de Silicio (IV)
19;P;Fósforo;Óxido ;Hipo;Fosforoso;Óxido HipoFosforoso;15;15;3;No Metal;Otros no metales;Sólido;3,4,5;3;19;1;3;III;Óxido de ;Óxido de Fósforo (III)
20;P;Fósforo;Óxido ;;Fosforoso;Óxido Fosforoso;15;15;3;No Metal;Otros no metales;Sólido;3,4,5;3;20;2;4;IV;Óxido de ;Óxido de Fósforo (IV)
21;P;Fósforo;Óxido ;;Fosfórico;Óxido Fosfórico;15;15;3;No Metal;Otros no metales;Sólido;3,4,5;3;21;3;5;V;Óxido de ;Óxido de Fósforo (V)
22;S;Azufre;Óxido ;Hipo;Sulfuroso;Óxido HipoSulfuroso;16;16;3;No Metal;Otros no metales;Sólido;2,4,6;3;22;1;2;II;Óxido de ;Óxido de Azufre (II)
