Order;Symbol;Name;AtomicNumber;Group;Period;Type;Subtype;State;Valence;AmountOfValences;"AtomicWeight
_uma";density_g_mL;BoilingPoint;FusionPoint
1;H;Hidrógeno;1;1;1;No Metal;Other Non-Metals;Gas;1;1;1.007975;0.0000699;-252.9;-259.1
2;He;Helio;2;18;1;Gas Noble;-;Gas;0;1;4.002602;0.000179;-268.9;-272.2
3;Li;Litio;3;1;2;Metal;Alkaline;Sólido;1;1;6.9675;543;1342;180.5
4;Be;Berilio;4;2;2;Metal;Alkaline earths;Sólido;2;1;9.0121831;1.85;2970;1278
5;B;Boro;5;13;2;Metaloide;-;Sólido;3;1;10.8135;2.34;2550;2079
6;C;Carbón;6;14;2;No Metal;Other Non-Metals;Sólido;2,4;2;12.0106;2.25;4827;3367
7;N;Notrógeno;7;15;2;No Metal;Other Non-Metals;Gas;2,3,4,5;4;14.006855;0.00125;-195.8;-209.9
8;O;Oxígeno;8;16;2;No Metal;Other Non-Metals;Gas;2;1;15.9994;0.00143;-183;-218.4
9;F;Flúor;9;17;2;No Metal;Halogens;Gas;1;1;18.99840316;0.0017;-188.1;-219.8
10;Ne;Neón;10;18;2;Gas Noble;-;Gas;0;1;20.1797;0.0009;-248.7;-248
11;Na;Sodio;11;1;3;Metal;Alkaline;Sólido;1;1;22.98976928;971;883;97.8
12;Mg;Mangnesio;12;2;3;Metal;Alkaline earths;Sólido;2;1;24.3055;1.74;1090;649
13;Al;Aluminio;13;13;3;Metal;Metals from Block p;Sólido;3;1;26.9815385;2.7;2467;660
14;Si;Sílice;14;14;3;Metaloide;-;Sólido;4;1;28085;2.33;2355;1410
15;P;Fósforo;15;15;3;No Metal;Other Non-Metals;Sólido;3,4,5;3;30.973762;1.82;280;44.1
16;S;Azufre;16;16;3;No Metal;Other Non-Metals;Sólido;2,4,6;3;32.0675;2.07;444.7;112.8
17;Cl;Cloro;17;17;3;No Metal;Halogens;Gas;1,3,5,7;4;35.4515;0.00321;-34.6;-101
18;Ar;Argón;18;18;3;Gas Noble;-;Gas;0;1;39948;0.00178;-185.7;-189.2
19;K;Potasio;19;1;4;Metal;Alkaline;Sólido;1;1;39.0983;0.86;760;63.25
20;Ca;Calcio;20;2;4;Metal;Alkaline earths;Sólido;2;1;40078;1.55;1484;839
21;Sc;Scandium;21;3;4;Metal;Transition Metals;Sólido;3;1;44.955908;2.99;2832;1541
22;Ti;Titanium;22;4;4;Metal;Transition Metals;Sólido;3,4;2;47867;4.54;3287;1660
23;V;Vanadium;23;5;4;Metal;Transition Metals;Sólido;2,3,4,5;4;50.9415;6.11;3380;1890
24;Cr;Chrome;24;6;4;Metal;Transition Metals;Sólido;2,3,6;3;51.9961;7.19;2672;1857
25;Mn;Manganese;25;7;4;Metal;Transition Metals;Sólido;2,3,4,6,7;5;54.938044;7.43;1962;1244
26;Fe;Iron;26;8;4;Metal;Transition Metals;Sólido;2,3;2;55845;7.86;2750;1535
27;Co;Cobalt;27;9;4;Metal;Transition Metals;Sólido;2,3;2;58.933194;8.9;2870;1495
28;Ni;Nickel;28;10;4;Metal;Transition Metals;Sólido;2,3;2;58.6934;8.9;2730;1453
29;Cu;Copper;29;11;4;Metal;Transition Metals;Sólido;1,2;2;63546;8.96;2567;1083
30;Zn;Zinc;30;12;4;Metal;Transition Metals;Sólido;2;1;65.38;7.13;906;419.6
31;Ga;Gallium;31;13;4;Metal;Metals from Block p;Líquido;3;1;69723;5.9;2403;29.8
32;Ge;Germanium;32;14;4;Metaloide;-;Sólido;4;1;72.63;5.32;2830;947.4
33;As;Arsenic;33;15;4;Metaloide;-;Sólido;3,5;2;74.921595;5.73;617;817
34;Se;Selenium;34;16;4;No Metal;Other Non-Metals;Sólido;4,6;2;78971;4.79;685;217
35;Br;Bromine;35;17;4;No Metal;Halogens;Líquido;1,5;2;79904;3.12;58.8;-7.2
36;Kr;Krypton;36;18;4;Gas Noble;-;Gas;0;1;83798;0.00374;-152;-157
37;Rb;Rubidium;37;1;5;Metal;Alkaline;Sólido;1;1;85.4678;1.53;686;38.9
38;Sr;Strontium;38;2;5;Metal;Alkaline earths;Sólido;2;1;87.62;2.54;1384;769
39;Y;Yttrium;39;3;5;Metal;Transition Metals;Sólido;3;1;88.90584;4.47;3337;1523
40;Zr;Zirconium;40;4;5;Metal;Transition Metals;Sólido;4;1;91224;6.51;4377;1852
41;Nb;Niobium;41;5;5;Metal;Transition Metals;Sólido;3,5;2;92.90637;8.57;4742;2468
42;Mo;Molybdenum;42;6;5;Metal;Transition Metals;Sólido;2,3,4,5,6;5;95.95;10.2;4612;2617
43;Tc;Technetium;43;7;5;Metal;Transition Metals;Sólido;7;1;98;11.5;4877;2172
44;Ru;Ruthenium;44;8;5;Metal;Transition Metals;Sólido;2,3,4,6,8;5;101.07;12.4;3900;2310
45;Rh;Rhodium;45;9;5;Metal;Transition Metals;Sólido;2,3,4;3;102.9055;12.4;3727;1966
46;Pd;Palladium;46;10;5;Metal;Transition Metals;Sólido;2,4;2;106.42;12;3140;1554
47;Ag;Silver;47;11;5;Metal;Transition Metals;Sólido;1;1;107.8682;10.5;2212;962
48;Cd;Cadmium;48;12;5;Metal;Transition Metals;Sólido;2;1;112414;8.65;765;320.9
49;In;Indian;49;13;5;Metal;Metals from Block p;Sólido;3;1;114818;7.31;2080;156.6
50;Sn;Tin;50;14;5;Metal;Metals from Block p;Sólido;2,4;2;118.71;7.31;2270;232
51;Sb;Antimony;51;15;5;Metaloide;-;Sólido;3,5;2;121.76;6.69;1950;631
