"Order";"Symbol";"Name";"AtomicNumber";"Group";"Period";"Type";"Subtype";"State";"Valence";"AmountOfValences";"OrderGeneralValences";"OrderValenceOnElement";"SelectedValence";"RomanValence";"Type_Metal";"Type_NonMetal";"Type_Metalloide";"Type_NobleGas";"State_Solid";"State_Liquid";"State_Gas";"State_Dude";"Subtype_Halogen";"Status_oxyde";"ChemFormule_pure";"Name_Classic_Oxyde";"Name_IUPAC_Oxyde";"amount01_oxyde_Stock";"amount02_oxyde_Stock";"Name_Stock_Oxyde";"Name_Stock_Oxyde02"
1;"H";"Hidr骻eno";1;1;1;"No Metal";"Otros no metales";"Gas";"1";1;1;1;"1";"I";FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;"H2O1";"脫xido de Hidr贸geno";"脫xido de Hidr贸geno (I)";"Di";"Mono";"Di脫xido de MonoHidr锟絞eno";"Di贸xido de Monohidr锟紾eno"
2;"He";"Helio";2;18;1;"Gas Noble";"-";"Gas";"0";1;2;1;"0";"";FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;"----";"----";"----";"----";"----";"----";"----"
3;"Li";"Litio";3;1;2;"Metal";"Alcalino";"S髄ido";"1";1;3;1;"1";"I";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Li2O1";"脫xido de Litio";"脫xido de Litio (I)";"Di";"Mono";"Di脫xido de MonoLitio";"Di贸xido de Monolitio"
4;"Be";"Berilio";4;2;2;"Metal";"Tierras alcalinas";"S髄ido";"2";1;4;1;"2";"II";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Be1O1";"脫xido de Berilio";"脫xido de Berilio (II)";"Mono";"Mono";"Mon脫xido de MonoBerilio";"Mon贸xido de Monoberilio"
5;"B";"Boro";5;13;2;"Metaloide";"-";"S髄ido";"3";1;5;1;"3";"III";FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"B2O3";"脫xido de Boro";"脫xido de Boro (III)";"Di";"Tri";"Di脫xido de TriBoro";"Di贸xido de Triboro"
6;"C";"Carb髇";6;14;2;"No Metal";"Otros no metales";"S髄ido";"2,4";2;6;1;"2";"II";FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"C1O1";"脫xido Carbonoso";"脫xido de Carb贸n (II)";"Mono";"Mono";"Mon脫xido de MonoCarb锟絥";"Mon贸xido de Monocarb锟絅"
7;"C";"Carb髇";6;14;2;"No Metal";"Otros no metales";"S髄ido";"2,4";2;7;2;"4";"IV";FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"C1O2";"脫xido Carb贸nico";"脫xido de Carb贸n (IV)";"Mono";"Di";"Mon脫xido de DiCarb锟絥";"Mon贸xido de Dicarb锟絅"
8;"N";"Nitr骻eno";7;15;2;"No Metal";"Otros no metales";"Gas";"2,3,4,5";4;8;1;"2";"II";FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;"N1O1";"脫xido Hiponitrogenoso";"脫xido de Nitr贸geno (II)";"Mono";"Mono";"Mon脫xido de MonoNitr锟絞eno";"Mon贸xido de Mononitr锟紾eno"
9;"N";"Nitr骻eno";7;15;2;"No Metal";"Otros no metales";"Gas";"2,3,4,5";4;9;2;"3";"III";FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;"N2O3";"脫xido Nitrogenoso";"脫xido de Nitr贸geno (III)";"Di";"Tri";"Di脫xido de TriNitr锟絞eno";"Di贸xido de Trinitr锟紾eno"
10;"N";"Nitr骻eno";7;15;2;"No Metal";"Otros no metales";"Gas";"2,3,4,5";4;10;3;"4";"IV";FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;"N1O2";"脫xido N铆trico";"脫xido de Nitr贸geno (IV)";"Mono";"Di";"Mon脫xido de DiNitr锟絞eno";"Mon贸xido de Dinitr锟紾eno"
